1///
2/आ जाओ गुरुदेव मेरे मन बस जाओ ।
आ जाओ मन बस जाओ, आ जाओ ना तरसाओ ।।
जीवन के एक तुम ही सहारे, रो-रो नैना तुम्हें पुकारे ।
हो गया हाल बेहाल, गुरुवर आ जाओ ।।१
मन मंदिर में तुम्हें बिठाऊँ, करूं आरती तिलक लगाऊँ ।
नाच-नाच देऊं ताल, गुरुवर आ जाओ ।।२
मैं तो हूँ एक दास तुम्हारा, तूँ ही है भव तारण हारा ।
तारो सकल समाज, गुरुवर आ जाओ ।। ३ 
/आ जाओ गुरुदेव मेरे 
Aa jao gurudev mere /guru
3/इस योग्य हम कहाँ है, गुरुवर तुम्हें रिझायें । 
फिर भी मना रहें है, शायद तूं मान जाये ।।
जग में जहां भी देखा, बस एक ही चलन है ।
एक दूसरे सुख में, खुद को बडी जलन है ।
कर्मों का लेखा जोखा, कोई मिटा ना पाये ।। १
निश्चय ही हम पतित हैं, लोभी हैं, स्वार्थी है ।
तेरा ध्यान जब लगायें, माया पुकारती है ।
सुख भोगने की इच्छा, कभी तृप्त हो ना पाये ।। २
जब कुछ ना कर सके तो, तेरी शरण मे आये ।
अपराध मानते हैं, मंजूर है सजायें ।
अब ज्ञान हम दे दो, कुछ और न हम चाहें ।। ३ /इस योग्य हम कहाँ 
Is yogya ham kahan /guru
4/कर सेवा गुरु चरनन की ।
युक्ति यही भव तारनन की ।। टेक ।।
गुरु की महिमा है भारी, वेद कहे भवजल तारी ।
विपदा हरे तन की ।।१ 
मन की दुविधा दूर करे, ज्ञान भक्ति भरपूर करें ।
भेद कहे शुभ करमन की ।।२
गुरु तो दयालु होते हैं, मन के मैल को धोते हैं ।
मोह हटावे विषयन की ।। ३
भेद भरम सब मिटा दिया, घट में दर्शन करा दिया ।
ऐसी लीला दर्शन  की ।। ४
गुरु चरणों में झुक जाऊं, भक्त कहे गुरुगुण गाऊँ ।
करो वंदना चरनन की ।। ५
/कर सेवा गुरु चरनन की 
Kar sewa guru charanan ki /guru
5/कुछ न बिगडेगा तुम्हारा, गुरु शरण आने के बाद । 
हर खुशी रंग लायेगी, चरणों में झुक जाने के बाद ।। १
जब तलक है भेद दिल में, कुछ नहीं बन पायेगा । 
भक्ति तब रंग लायेगी, सब भेद मिट जाने के बाद ।। २
काली निशा को देखकर, तू ऐ भंवर मत हो उदास । 
बंद कलिया फिर खिलेगी, रात ढल जाने के बाद ।। ३ 
प्रेम के मंजिल के राही, कष्ट पाते हैं जरूर । 
बीज फलता है तभी, मिट्टी में मिल जाने के बाद ।। ४ 
मंजिले मकसूद पर, दौड गये इंसां मगर । 
पर वहां पहुंचता कोई, लगन लग जाने के बाद ।। ५ /कुछ न बिगडेगा तुम्हारा 
kuch na bigdega tumhara /guru
6/गुरुजी नाम लखाय दीजिये, गुरुजी पार लगाय दीजिये ।। 
निस अंधेरी अंग नहीं सुझे, ज्ञानकी ज्योति जगाये दीजिये ।। 
विषकी लहरी यही घट भीतर, अमृत बूंद पिलाय दीजिये ।। 
लोहा के नाव यही भवसागर, खियाई खियाई दिजिये ।। 
कहत मुकुन्द सुनो भाई साधो, त्रिगुणकी फन्द छुडाय दीजिये ।। /गुरुजी नाम लखाय दीजिये
guruji nam lakhay dijiye /guru
7/गुरुजी मेरे मन मन्दिर में रहियो ।
इस दुनियाँ में हम हैं अकेले, तुम ही साथ निभाइयो ।।
रोवत-रोवत थक गये नैना, अब तो आओ मत देर करो ना ।
भवसागर में फंसे हुए हैं, भव से पार लगाइयो ।। १
